Category,JACS3_code,JACS3_Label,Relation,HECoS_code,HECoS_Label
4,A000,Medicine & dentistry,Related match,100268,dentistry
4,A000,Medicine & dentistry,Related match,100271,medicine
2,A100,Pre-clinical medicine,Related match,101334,allergy
2,A100,Pre-clinical medicine,Related match,101337,endocrinology
2,A100,Pre-clinical medicine,Related match,101335,epidemiology
2,A100,Pre-clinical medicine,Related match,101327,oncology
2,A100,Pre-clinical medicine,Close match,100276,pre-clinical medicine
1,A200,Pre-clinical dentistry,Close match,100275,pre-clinical dentistry
2,A300,Clinical medicine,Related match,101334,allergy
2,A300,Clinical medicine,Related match,101336,anaesthesia
2,A300,Clinical medicine,Close match,100267,clinical medicine
2,A300,Clinical medicine,Related match,101339,dermatology
2,A300,Clinical medicine,Related match,101337,endocrinology
2,A300,Clinical medicine,Related match,101335,epidemiology
2,A300,Clinical medicine,Related match,101331,gastroenterology
2,A300,Clinical medicine,Related match,101309,obstetrics and gynaecology
2,A300,Clinical medicine,Related match,101327,oncology
2,A300,Clinical medicine,Related match,101324,orthopaedics
2,A300,Clinical medicine,Related match,101325,paediatrics
2,A300,Clinical medicine,Related match,101330,ultrasound
1,A400,Clinical dentistry,Close match,100266,clinical dentistry
4,A900,Others in medicine & dentistry,Related match,101334,allergy
4,A900,Others in medicine & dentistry,Related match,100268,dentistry
4,A900,Others in medicine & dentistry,Related match,101339,dermatology
4,A900,Others in medicine & dentistry,Related match,101338,diabetes
4,A900,Others in medicine & dentistry,Related match,101337,endocrinology
4,A900,Others in medicine & dentistry,Related match,101331,gastroenterology
4,A900,Others in medicine & dentistry,Related match,100271,medicine
4,A990,Medicine & dentistry not elsewhere classified,Related match,100268,dentistry
4,A990,Medicine & dentistry not elsewhere classified,Related match,100271,medicine
4,B000,Subjects allied to medicine,Related match,100234,alternative medicines and therapies
4,B000,Subjects allied to medicine,Related match,100242,complementary medicines and therapies
4,B000,Subjects allied to medicine,Related match,100246,health sciences
4,B000,Subjects allied to medicine,Related match,100260,healthcare science
4,B000,Subjects allied to medicine,Related match,100270,medical sciences
4,B000,Subjects allied to medicine,Related match,100391,natural sciences
4,B000,Subjects allied to medicine,Related match,100290,nursing
4,B100,"Anatomy, physiology & pathology",Related match,100350,human biology
4,B100,"Anatomy, physiology & pathology",Related match,100270,medical sciences
1,B110,Anatomy,Close match,100264,anatomy
2,B120,Physiology,Related match,101309,obstetrics and gynaecology
2,B120,Physiology,Close match,100262,physiology
1,B121,Clinical physiology,Close match,100258,clinical physiology
2,B130,Pathology,Related match,101327,oncology
2,B130,Pathology,Close match,100274,pathology
1,B131,Cellular pathology,Close match,100540,cellular pathology
1,B132,Pathobiology,Close match,100038,pathobiology
1,B140,Neuroscience,Close match,100272,neuroscience
2,B160,Physiotherapy,Related match,101290,neurological rehabilitation
2,B160,Physiotherapy,Close match,100252,physiotherapy
2,B160,Physiotherapy,Related match,101289,rehabilitation studies
1,B170,Podiatry,Close match,100253,podiatry
3,B190,"Anatomy, physiology & pathology not elsewhere classified",Related match,100270,medical sciences
4,B200,"Pharmacology, toxicology & pharmacy",Related match,101332,drug and alcohol studies
4,B200,"Pharmacology, toxicology & pharmacy",Related match,100250,pharmacology
4,B200,"Pharmacology, toxicology & pharmacy",Related match,100251,pharmacy
4,B200,"Pharmacology, toxicology & pharmacy",Related match,100277,toxicology
1,B210,Pharmacology,Close match,100250,pharmacology
1,B220,Toxicology,Close match,100277,toxicology
1,B230,Pharmacy,Close match,100251,pharmacy
4,B290,"Pharmacology, toxicology & pharmacy not elsewhere classified",Related match,100250,pharmacology
4,B290,"Pharmacology, toxicology & pharmacy not elsewhere classified",Related match,100251,pharmacy
4,B290,"Pharmacology, toxicology & pharmacy not elsewhere classified",Related match,100277,toxicology
1,B300,"Complementary medicines, therapies & well-being",Close match,100242,complementary medicines and therapies
1,B310,Osteopathy,Close match,100243,osteopathy
1,B320,Chiropractic,Close match,100241,chiropractic
1,B340,Alternative medicine & therapies,Close match,100234,alternative medicines and therapies
