bcsid,degsub,comb_code,HECoS_Label,dist,man_code
B10015U,humanities,V1,humanities,0,NA
B10036Z,business studies,N1,business studies,0,NA
B10093J,engineering electronics,H1,engineering design,0.159319646,NA
B10096M,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B10099Q,english literature,Q3,English literature,0,NA
B10100Q,english studies,Q3,English studies,0,NA
B10103T,english,Q3,English law,0.121212121,NA
B10108Y,primary education,X3,primary education,0,NA
B10114W,computer systems engineer,I1,computer systems engineering,0.035714286,NA
B10122W,fine art,W1,fine art,0,NA
B10123X,information management an,P1,information management,0.04,NA
B10124Y,nursingstudies,Q3,Ruskin studies,0.150793651,NA
B10127B,sport in the community,C6,sport technology,0.2629662,NA
B10128C,medicine,A0,medicine,0,A1
B10148G,human biology,C1,human biology,0,NA
B10152C,molecular biology,C1,molecular biology,0,NA
B10164G,civil engineering,H2,civil engineering,0,NA
B10198S,teaching design  technol,X1,teaching English as a foreign language,0.278091061,NA
B10201U,mathematics,G1,mathematics,0,NA
B10207A,modern languages,R0,modern languages,0,R0
B10213Y,history and war studies w,V1,Thomas Hardy studies,0.219259259,NA
B10216B,oceanography with chemist,F1,organic chemistry,0.27502451,NA
B10241C,acting studies,Q6,Latin studies,0.073260073,W4
B10243E,mechanical engineering,H3,mechanical engineering,0,NA
B10262H,chemistry,F1,chemistry,0,NA
B10264K,politics,L2,politics,0,NA
B10268P,bsc in physicsastronomy,V2,Russian history,0.291936083,NA
B10305B,mathematics,G1,mathematics,0,NA
B10314C,law,M0,law,0,NA
B10320A,law,M0,law,0,NA
B10330C,mathematics,G1,mathematics,0,NA
B10334G,english lit,Q3,English law,0.121212121,NA
B10345K,business studies,N1,business studies,0,NA
B10373P,physical education and g,L6,physical and biological anthropology,0.251984127,NA
B10376S,bsc honours quantity surv,B7,school nursing,0.304285714,NA
B10403C,pharmacology,B2,pharmacology,0,NA
B10404D,geography,L7,geography,0,NA
B10424H,landmanagement,N2,land management,0.022222222,NA
B10430F,psychologysociologylaw,C8,psychology,0.181818182,NA
B10440H,electrical electronics,H6,electrical power,0.198593074,NA
B10442K,business studies,N1,business studies,0,NA
B10448R,computor science,I1,computer science,0.141666667,NA
B10451L,mathematics,G1,mathematics,0,NA
B10458T,ecconomics,L1,economics,0.033333333,L1
B10464R,historygovernment,V1,history,0.196078431,NA
B10481S,applied biology,C1,applied biology,0,NA
B10492V,physics,F3,physics,0,NA
B10494X,communications,W5,community dance,0.205772006,NA
B10495Y,librarianship and geograp,P1,librarianship,0.16,NA
B10518N,textile design,W2,textile design,0,NA
B10522J,modern studies,T4,Korean studies,0.123015873,NA
B10533M,biology and geography,C1,biology,0.222222222,NA
B10544Q,civil engineering,H2,civil engineering,0,NA
B10546S,plant and environmental b,B9,environmental and public health,0.264862085,NA
B10547T,medicine,A0,medicine,0,A1
B10548U,biology and geology,C1,biology,0.210526316,NA
B10562S,electronic and electrical,H6,electrical and electronic engineering,0.161441441,H6
B10567X,business administrationg,N1,business information systems,0.234126984,NA
B10574W,english literature,Q3,English literature,0,NA
